epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,142.124,1.00716,0.72714,1.18845,0.88661,0.78078,0.86296,0.55553,1.34739,0.84483,1.50284,0.000543738,0.000543738,0.000543738
58,144.544,0.99388,0.69816,1.16886,0.8716,0.77619,0.86314,0.55613,1.33598,0.88365,1.48774,0.000541537,0.000541537,0.000541537
59,146.996,0.99288,0.69049,1.16648,0.87664,0.7641,0.85712,0.55526,1.32891,0.85575,1.48386,0.000539336,0.000539336,0.000539336
60,149.409,0.99511,0.68527,1.16538,0.83417,0.81998,0.8626,0.5643,1.33808,0.8202,1.50598,0.000537135,0.000537135,0.000537135
61,151.854,0.97533,0.67966,1.15617,0.84343,0.80629,0.86352,0.56631,1.33513,0.82179,1.49063,0.000534934,0.000534934,0.000534934
62,154.272,0.9769,0.68324,1.15478,0.85379,0.81367,0.86717,0.56983,1.3172,0.80077,1.47299,0.000532733,0.000532733,0.000532733
63,156.787,0.98833,0.68648,1.16743,0.86291,0.81965,0.87615,0.57034,1.32082,0.78693,1.48201,0.000530532,0.000530532,0.000530532
64,159.264,0.96491,0.6712,1.15598,0.85597,0.80605,0.86497,0.56098,1.35841,0.80173,1.52322,0.000528331,0.000528331,0.000528331
65,161.666,0.97189,0.67315,1.1553,0.85133,0.79593,0.86452,0.56159,1.35364,0.82457,1.5266,0.00052613,0.00052613,0.00052613
66,164.061,0.97706,0.66096,1.15961,0.84951,0.80648,0.86895,0.56906,1.32502,0.80977,1.49481,0.000523928,0.000523928,0.000523928
67,166.441,0.96264,0.667,1.15969,0.87588,0.7931,0.86909,0.56426,1.33613,0.80321,1.49549,0.000521727,0.000521727,0.000521727
68,168.802,0.96489,0.66238,1.15971,0.85682,0.79867,0.86947,0.56611,1.33007,0.80925,1.48764,0.000519526,0.000519526,0.000519526
69,171.183,0.94852,0.6569,1.14984,0.86229,0.81108,0.87114,0.56728,1.33813,0.84204,1.48748,0.000517325,0.000517325,0.000517325
70,173.571,0.9566,0.65719,1.1484,0.86213,0.80269,0.85504,0.56388,1.32956,0.81784,1.47616,0.000515124,0.000515124,0.000515124
71,175.919,0.96673,0.66499,1.15227,0.87942,0.76923,0.86135,0.56484,1.325,0.8388,1.48162,0.000512923,0.000512923,0.000512923
72,178.265,0.95075,0.65227,1.1488,0.87098,0.80395,0.87364,0.57411,1.29926,0.84164,1.47895,0.000510722,0.000510722,0.000510722
73,180.66,0.93619,0.63815,1.14162,0.89658,0.78294,0.87598,0.57671,1.32743,0.81376,1.47989,0.000508521,0.000508521,0.000508521
74,183.049,0.94058,0.64072,1.13751,0.87204,0.78343,0.86218,0.56783,1.32975,0.81332,1.49991,0.00050632,0.00050632,0.00050632
75,185.417,0.94284,0.6412,1.14202,0.87671,0.8118,0.88613,0.5763,1.33634,0.80645,1.49445,0.000504119,0.000504119,0.000504119
76,187.813,0.93486,0.62849,1.13132,0.85716,0.82532,0.87533,0.56922,1.33227,0.82556,1.49605,0.000501917,0.000501917,0.000501917
77,190.185,0.93057,0.62863,1.13158,0.85822,0.8208,0.87833,0.57207,1.32994,0.83106,1.49211,0.000499716,0.000499716,0.000499716
78,192.563,0.92514,0.63188,1.12356,0.89057,0.77786,0.8727,0.5712,1.32362,0.82662,1.48652,0.000497515,0.000497515,0.000497515
79,194.954,0.93592,0.63241,1.13125,0.86504,0.80959,0.86986,0.5736,1.33013,0.78889,1.49212,0.000495314,0.000495314,0.000495314
80,197.348,0.93388,0.63138,1.13437,0.87946,0.77258,0.86159,0.56434,1.33682,0.80281,1.51168,0.000493113,0.000493113,0.000493113
81,199.757,0.9272,0.61997,1.12587,0.87354,0.80147,0.87733,0.5719,1.31157,0.79847,1.48214,0.000490912,0.000490912,0.000490912
82,202.162,0.92039,0.61303,1.12756,0.86646,0.78919,0.87422,0.57204,1.31417,0.8009,1.49828,0.000488711,0.000488711,0.000488711
83,204.561,0.91384,0.61267,1.12032,0.88268,0.80278,0.88328,0.58027,1.30339,0.78003,1.47839,0.00048651,0.00048651,0.00048651
84,206.958,0.91422,0.61386,1.1203,0.87219,0.79884,0.88459,0.57102,1.31573,0.78021,1.50145,0.000484309,0.000484309,0.000484309
85,209.337,0.91485,0.61344,1.12771,0.86306,0.82161,0.87908,0.58207,1.3298,0.78291,1.50184,0.000482108,0.000482108,0.000482108
86,211.73,0.92637,0.62249,1.14085,0.85896,0.8154,0.87187,0.57545,1.33311,0.79478,1.49559,0.000479907,0.000479907,0.000479907
87,214.115,0.89273,0.5887,1.10624,0.89707,0.79791,0.87946,0.57615,1.32657,0.78241,1.49272,0.000477705,0.000477705,0.000477705
88,216.498,0.91765,0.61269,1.12388,0.86126,0.79453,0.86521,0.56821,1.31814,0.80026,1.50559,0.000475504,0.000475504,0.000475504
89,218.891,0.91072,0.60326,1.10918,0.88771,0.83027,0.89179,0.58484,1.31933,0.76066,1.49058,0.000473303,0.000473303,0.000473303
90,221.27,0.90423,0.59132,1.10606,0.86508,0.81442,0.87513,0.57884,1.33934,0.771,1.51982,0.000471102,0.000471102,0.000471102
91,223.656,0.90593,0.59978,1.12256,0.85032,0.78858,0.86782,0.57096,1.33845,0.78964,1.51624,0.000468901,0.000468901,0.000468901
92,226.054,0.90164,0.59267,1.12135,0.83335,0.8162,0.87069,0.5736,1.3405,0.79072,1.51044,0.0004667,0.0004667,0.0004667
93,228.426,0.89615,0.60165,1.11398,0.84677,0.81081,0.87523,0.5737,1.33474,0.77315,1.52277,0.000464499,0.000464499,0.000464499
94,230.818,0.8847,0.58858,1.10823,0.84925,0.83565,0.88365,0.58253,1.31171,0.76618,1.49374,0.000462298,0.000462298,0.000462298
95,233.213,0.87816,0.57687,1.10459,0.8688,0.82053,0.87817,0.57822,1.32379,0.79035,1.4986,0.000460097,0.000460097,0.000460097
96,235.612,0.88132,0.58717,1.10698,0.89311,0.81321,0.88412,0.58972,1.30256,0.75328,1.49442,0.000457895,0.000457895,0.000457895
97,237.99,0.89038,0.59383,1.10415,0.86002,0.81357,0.87706,0.583,1.30882,0.76848,1.49123,0.000455694,0.000455694,0.000455694
98,240.377,0.88447,0.5893,1.10505,0.87294,0.80777,0.87773,0.58233,1.33397,0.78079,1.51567,0.000453493,0.000453493,0.000453493
99,242.765,0.88191,0.58576,1.10112,0.87888,0.82318,0.88314,0.58361,1.32151,0.77133,1.53376,0.000451292,0.000451292,0.000451292
100,245.109,0.87805,0.58488,1.10113,0.85982,0.8239,0.87274,0.58148,1.32047,0.79375,1.50065,0.000449091,0.000449091,0.000449091
101,247.513,0.88008,0.57509,1.10103,0.86785,0.83188,0.8775,0.57828,1.33131,0.79549,1.50428,0.00044689,0.00044689,0.00044689
102,249.867,0.86096,0.5647,1.08805,0.90655,0.82006,0.88961,0.58924,1.32466,0.78883,1.49881,0.000444689,0.000444689,0.000444689
103,252.253,0.89504,0.58257,1.10501,0.87048,0.7999,0.874,0.58102,1.32493,0.81673,1.49795,0.000442488,0.000442488,0.000442488
104,254.66,0.88207,0.57644,1.09769,0.87186,0.82567,0.882,0.58112,1.32394,0.78803,1.49657,0.000440287,0.000440287,0.000440287
105,257.051,0.88017,0.58471,1.10337,0.89157,0.81676,0.87948,0.58495,1.31858,0.76567,1.49984,0.000438086,0.000438086,0.000438086
106,259.439,0.87132,0.56512,1.09567,0.8873,0.80275,0.88221,0.59095,1.30812,0.78706,1.48312,0.000435884,0.000435884,0.000435884
107,261.817,0.87799,0.57051,1.09158,0.89024,0.80886,0.88384,0.58611,1.30871,0.7579,1.48282,0.000433683,0.000433683,0.000433683
108,264.209,0.8622,0.57014,1.08815,0.84744,0.82887,0.88078,0.5844,1.31881,0.7602,1.49411,0.000431482,0.000431482,0.000431482
109,266.565,0.87568,0.57042,1.09723,0.84078,0.81767,0.87186,0.57811,1.32729,0.79864,1.50356,0.000429281,0.000429281,0.000429281
110,268.916,0.86818,0.5613,1.09694,0.84327,0.8108,0.87201,0.57929,1.31957,0.80328,1.50258,0.00042708,0.00042708,0.00042708
111,271.282,0.86419,0.5577,1.09135,0.8661,0.80017,0.87292,0.58779,1.30075,0.7946,1.48912,0.000424879,0.000424879,0.000424879
112,273.67,0.8607,0.55165,1.08783,0.92176,0.74101,0.87142,0.57538,1.34041,0.8181,1.51693,0.000422678,0.000422678,0.000422678
113,276.064,0.86048,0.54555,1.08386,0.87835,0.78918,0.8687,0.58449,1.3015,0.801,1.48891,0.000420477,0.000420477,0.000420477
114,278.436,0.86316,0.55502,1.08925,0.87758,0.77849,0.87889,0.58851,1.30516,0.75426,1.50021,0.000418276,0.000418276,0.000418276
115,280.82,0.84604,0.55624,1.07394,0.87301,0.81348,0.88126,0.57974,1.31704,0.76863,1.5095,0.000416075,0.000416075,0.000416075
116,283.198,0.85333,0.55732,1.08838,0.89516,0.78533,0.88316,0.58292,1.31708,0.79115,1.5032,0.000413873,0.000413873,0.000413873
117,285.596,0.84968,0.54576,1.07969,0.85254,0.82719,0.88271,0.57997,1.31613,0.78857,1.50433,0.000411672,0.000411672,0.000411672
118,287.993,0.84498,0.54358,1.06802,0.9027,0.78757,0.88347,0.58676,1.31371,0.76013,1.50457,0.000409471,0.000409471,0.000409471
119,290.318,0.83667,0.53213,1.0773,0.87827,0.81972,0.89051,0.58852,1.32236,0.77132,1.50496,0.00040727,0.00040727,0.00040727
120,292.696,0.85368,0.55241,1.08026,0.88325,0.8106,0.88638,0.5901,1.3203,0.76264,1.48672,0.000405069,0.000405069,0.000405069
121,295.083,0.83604,0.5407,1.08027,0.86413,0.81953,0.89107,0.58927,1.31914,0.75928,1.50415,0.000402868,0.000402868,0.000402868
122,297.493,0.85247,0.5538,1.08396,0.87241,0.82757,0.88425,0.5884,1.31705,0.76122,1.49213,0.000400667,0.000400667,0.000400667
123,299.86,0.84409,0.54738,1.08431,0.85763,0.83488,0.88855,0.59118,1.2954,0.74824,1.48035,0.000398466,0.000398466,0.000398466
124,302.241,0.84525,0.54591,1.07982,0.89001,0.81024,0.88871,0.58417,1.32946,0.77463,1.50595,0.000396265,0.000396265,0.000396265
125,304.663,0.82443,0.53832,1.06491,0.90393,0.80577,0.89326,0.58485,1.31429,0.77579,1.50009,0.000394064,0.000394064,0.000394064
126,307.075,0.82561,0.52382,1.07381,0.86965,0.84137,0.88989,0.58553,1.29658,0.76448,1.50512,0.000391862,0.000391862,0.000391862
127,309.481,0.85289,0.55294,1.08575,0.8828,0.82131,0.88123,0.58331,1.3259,0.78381,1.51927,0.000389661,0.000389661,0.000389661
128,311.883,0.8427,0.55081,1.08282,0.84879,0.83803,0.87478,0.58026,1.32233,0.82024,1.51563,0.00038746,0.00038746,0.00038746
129,314.276,0.82228,0.53314,1.06949,0.86977,0.84073,0.8948,0.59239,1.31047,0.77869,1.49219,0.000385259,0.000385259,0.000385259
130,316.658,0.82496,0.54097,1.07958,0.86743,0.8362,0.89092,0.59389,1.30672,0.78041,1.50057,0.000383058,0.000383058,0.000383058
131,319.04,0.82858,0.5298,1.07481,0.87307,0.8241,0.88605,0.58559,1.31202,0.797,1.50603,0.000380857,0.000380857,0.000380857
132,321.438,0.8348,0.53485,1.07088,0.86928,0.82165,0.88199,0.58322,1.32141,0.7761,1.50161,0.000378656,0.000378656,0.000378656
133,323.802,0.84158,0.54524,1.07953,0.84825,0.8308,0.88396,0.58046,1.31306,0.78394,1.49847,0.000376455,0.000376455,0.000376455
134,326.205,0.82602,0.53708,1.07463,0.87278,0.7983,0.86369,0.57561,1.31997,0.80285,1.4989,0.000374254,0.000374254,0.000374254
135,328.579,0.82412,0.52123,1.07323,0.88012,0.81699,0.88259,0.58768,1.31296,0.78359,1.5135,0.000372053,0.000372053,0.000372053
136,330.976,0.82262,0.52699,1.0677,0.85895,0.83572,0.88063,0.58682,1.3077,0.78607,1.50241,0.000369851,0.000369851,0.000369851
137,333.358,0.81174,0.52085,1.0646,0.86847,0.80917,0.87228,0.58624,1.30957,0.77472,1.51099,0.00036765,0.00036765,0.00036765
138,335.754,0.81121,0.52653,1.06158,0.88443,0.79886,0.8813,0.58781,1.30452,0.76904,1.51073,0.000365449,0.000365449,0.000365449
